arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch1_gru,191,0,1.0,4.9141,4.2102,67.369,5723.22,9.477,0.001,77.908
arch1_gru,191,1,0.975,4.295,3.9864,53.862,6298.17,9.864,0.001,77.908
arch1_gru,191,2,0.95,4.1541,3.8979,49.297,6294.59,9.83,0.001,77.908
arch1_gru,191,3,0.925,4.1069,3.8594,47.437,6287.01,9.797,0.001,77.908
arch1_gru,191,4,0.9,4.1056,3.8379,46.428,6248.26,9.71,0.001,77.908
arch1_gru,191,5,0.875,4.1344,3.8663,47.766,6259.03,9.844,0.001,77.908
arch1_gru,191,6,0.85,4.1819,3.8815,48.495,6105.74,10.05,0.001,77.908
arch1_gru,191,7,0.825,4.2633,3.9374,51.284,6103.56,9.948,0.001,77.908
arch1_gru,191,8,0.8,4.4961,4.8978,133.996,6078.76,10.034,0.0005,77.908
arch1_gru,191,9,0.775,39.9511,67.2225,485165195.41,6004.62,9.792,0.0005,77.908
arch1_gru,191,10,0.75,31.2815,10.1018,24387.583,5989.15,9.961,0.0005,77.908
arch1_gru,191,11,0.725,7.9951,5.7638,318.545,6036.6,9.979,0.0005,77.908
arch1_gru,191,12,0.7,5.7568,5.0404,154.534,6080.65,9.961,0.00025,77.908
arch1_gru,191,13,0.675,5.2037,4.7202,112.196,5958.4,9.928,0.00025,77.908
arch1_gru,191,14,0.65,5.1044,4.6199,101.489,5968.87,10.028,0.00025,77.908
